GSM1096084	C_AY_10d_24h-rep1
GSM1096085	C_AY_10d_24h-rep2
GSM1096086	C_AY_10d_24h-rep3
GSM1096087	C_AY_10d_6w_rep1
GSM1096088	C_AY_10d_6w_rep2
GSM1096089	C_AY_10d_6w_rep3
GSM1096090	C_AY_5d_1.5w_rep1
GSM1096091	C_AY_5d_1.5w_rep2
GSM1096092	C_AY_5d_1.5w_rep3
GSM1096093	C_AY_5d_1.5w_rep4
GSM1096094	C_AY_5d_1.5w_rep5
GSM1096095	C_AY_5d_24h_rep1
GSM1096096	C_AY_5d_24h_rep2
GSM1096097	C_AY_5d_24h_rep3
GSM1096098	C_blood_10d_24h_rep1
GSM1096099	C_blood_10d_24h_rep2
GSM1096100	C_blood_10d_24h_rep3
GSM1096101	C_blood_10d_24h_rep4
GSM1096102	C_blood_10d_6w_rep1
GSM1096103	C_blood_10d_6w_rep2
GSM1096104	C_blood_10d_6w_rep3
GSM1096105	C_blood_10d_6w_rep4
GSM1096106	C_blood_5d_1.5w_rep1
GSM1096107	C_blood_5d_1.5w_rep2
GSM1096108	C_blood_5d_1.5w_rep3
GSM1096109	C_blood_5d_1.5w_rep4
GSM1096110	C_blood_5d_1.5w_rep5
GSM1096111	C_blood_5d_24h_rep1
GSM1096112	C_blood_5d_24h_rep2
GSM1096113	C_blood_5d_24h_rep3
GSM1096114	C_blood_5d_24h_rep4
GSM1096115	C_blood_5d_24h_rep5
GSM1096116	C_HC_10d_24h_rep1
GSM1096117	C_HC_10d_24h_rep2
GSM1096118	C_HC_10d_24h_rep3
GSM1096119	C_HC_10d_24h_rep4
GSM1096120	C_HC_10d_24h_rep5
GSM1096121	C_HC_10d_6w_rep1
GSM1096122	C_HC_10d_6w_rep2
GSM1096123	C_HC_10d_6w_rep3
GSM1096124	C_HC_10d_6w_rep4
GSM1096125	C_HC_5d_1.5w_rep1
GSM1096126	C_HC_5d_1.5w_rep2
GSM1096127	C_HC_5d_1.5w_rep3
GSM1096128	C_HC_5d_1.5w_rep4
GSM1096129	C_HC_5d_24h_rep1
GSM1096130	C_HC_5d_24h_rep2
GSM1096131	C_HC_5d_24h_rep3
GSM1096132	C_heart_10d_24h_rep1
GSM1096133	C_heart_10d_24h_rep2
GSM1096134	C_heart_10d_24h_rep3
GSM1096135	C_heart_10d_24h_rep4
GSM1096136	C_heart_10d_24h_rep5
GSM1096137	C_heart_10d_6w_rep1
GSM1096138	C_heart_10d_6w_rep2
GSM1096139	C_heart_10d_6w_rep3
GSM1096140	C_heart_10d_6w_rep4
GSM1096141	C_heart_10d_6w_rep5
GSM1096142	C_heart_5d_1.5w_rep1
GSM1096143	C_heart_5d_1.5w_rep2
GSM1096144	C_heart_5d_1.5w_rep3
GSM1096145	C_heart_5d_1.5w_rep4
GSM1096146	C_heart_5d_24h_rep1
GSM1096147	C_heart_5d_24h_rep2
GSM1096148	C_heart_5d_24h_rep3
GSM1096149	C_heart_5d_24h_rep4
GSM1096150	C_heart_5d_24h_rep5
GSM1096151	C_hemibrain_10d_24h_rep1
GSM1096152	C_hemibrain_10d_24h_rep2
GSM1096153	C_hemibrain_10d_24h_rep3
GSM1096154	C_hemibrain_10d_24h_rep4
GSM1096155	C_hemibrain_10d_24h_rep5
GSM1096156	C_hemibrain_10d_6w_rep1
GSM1096157	C_hemibrain_10d_6w_rep2
GSM1096158	C_hemibrain_10d_6w_rep3
GSM1096159	C_hemibrain_10d_6w_rep4
GSM1096160	C_hemibrain_10d_6w_rep5
